AQI,AQI.1,AQI.2,AQI.3
0.587049144,0.368840533,0.262622255,28.24074074
0.368840533,0.262622255,0.262622255,35.17316017
0.262622255,0.262622255,0.340110186,43.96645022
0.262622255,0.340110186,0.438398215,48.43073593
0.340110186,0.438398215,0.488298292,46.53679654
0.438398215,0.488298292,0.467128563,29.08549784
0.488298292,0.467128563,0.272064627,21.50974026
0.467128563,0.272064627,0.187385709,34.36147186
0.272064627,0.187385709,0.331037444,32.91027155
0.187385709,0.331037444,0.314816483,31.38528139
0.331037444,0.314816483,0.297770727,20.42748918
0.314816483,0.297770727,0.17528872,45.31926407
0.297770727,0.17528872,0.453519451,33.68506494
0.17528872,0.453519451,0.323476827,18.66883117
0.453519451,0.323476827,0.155631114,16.23376623
0.323476827,0.155631114,0.128412891,26.51515152
0.155631114,0.128412891,0.243334279,35.29079616
0.128412891,0.243334279,0.341425076,43.1547619
0.243334279,0.341425076,0.429325474,44.1017316
0.341425076,0.429325474,0.439910339,24.35064935
0.429325474,0.439910339,0.219140303,26.10930736
0.439910339,0.219140303,0.238797909,36.56126482
0.219140303,0.238797909,0.355625888,35.8495671
0.238797909,0.355625888,0.347670803,33.41450216
0.355625888,0.347670803,0.32045258,40.31385281
0.347670803,0.32045258,0.39757088,36.39069264
0.32045258,0.39757088,0.353719297,32.73809524
0.39757088,0.353719297,0.312891962,16.504329
0.353719297,0.312891962,0.131437138,14.61038961
0.312891962,0.131437138,0.110267408,26.24458874
0.131437138,0.110267408,0.240310032,40.04329004
0.110267408,0.240310032,0.394546633,39.40377804
0.240310032,0.394546633,0.387398413,42.74891775
0.394546633,0.387398413,0.424789104,31.52056277
0.387398413,0.424789104,0.29928285,38.96103896
0.424789104,0.29928285,0.382449645,43.96645022
0.29928285,0.382449645,0.438398215,43.05477132
0.382449645,0.438398215,0.428207818,20.96861472
0.438398215,0.428207818,0.181337215,19.3452381
0.428207818,0.181337215,0.163191732,66.98765432
0.181337215,0.163191732,0.695720422,45.0487013
0.163191732,0.695720422,0.450495204,22.72727273
0.695720422,0.450495204,0.20099482,26.24458874
0.450495204,0.20099482,0.240310032,37.33766234
0.20099482,0.240310032,0.364304162,47.754329
0.240310032,0.364304162,0.480737674,42.91360813
0.364304162,0.480737674,0.42662995,46.26623377
0.480737674,0.42662995,0.464104315,35.03787879
0.42662995,0.464104315,0.338598062,35.03787879
0.464104315,0.338598062,0.338598062,35.71428571
0.338598062,0.338598062,0.34615868,84.16358025
0.338598062,0.34615868,0.887706346,40.85497835
0.34615868,0.887706346,0.403619374,30.49124788
0.887706346,0.403619374,0.287777562,13.52813853
0.403619374,0.287777562,0.09817042,30.97943723
0.287777562,0.09817042,0.293234356,44.50757576
0.09817042,0.293234356,0.44444671,51.75617284
0.293234356,0.44444671,0.525468753,28.79728967
0.44444671,0.525468753,0.268843146,36.52597403
0.525468753,0.268843146,0.355231421,38.41991342
