wind_direct,temperature,rain,humidity,wind_speed,AQI,wind_direct.1,temperature.1,rain.1,humidity.1,wind_speed.1,AQI.1,wind_direct.2,temperature.2,rain.2,humidity.2,wind_speed.2,AQI.2,AQI.3
0.047135311,0.351993714,0,0.788964182,0.047135311,0.379150466,0.572531491,0.467491652,0,0.689254598,0.572531491,0.730736722,0.264514819,0.519544294,0,0.537270087,0.264514819,0.642592241,54.45679012
0.572531491,0.467491652,0,0.689254598,0.572531491,0.730736722,0.263917107,0.519544294,0,0.537270087,0.263917107,0.642592241,0.604953309,0.430760165,0,0.722168441,0.604953309,0.555655219,29.22077922
0.263917107,0.519544294,0,0.537270087,0.263917107,0.642592241,0.604632263,0.430760165,0,0.722168441,0.604632263,0.555655219,0.073284612,0.257513259,0,0.65053243,0.073284612,0.27357675,37.26708075
0.604632263,0.430760165,0,0.722168441,0.604632263,0.555655219,0.072531491,0.257513259,0,0.65053243,0.072531491,0.27357675,0.031668697,0.395010803,0,0.590513069,0.031668697,0.363515228,23.26839827
0.072531491,0.257513259,0,0.65053243,0.072531491,0.27357675,0.030881755,0.395010803,0,0.590513069,0.030881755,0.363515228,0.067600487,0.299744647,0.019197208,0.765730881,0.067600487,0.207043315,43.42532468
0.030881755,0.395010803,0,0.590513069,0.030881755,0.363515228,0.066842747,0.299744647,0.019197208,0.765730881,0.066842747,0.207043315,0.093788063,0.131997643,0.118673647,0.806389158,0.093788063,0.432349721,33.82034632
0.066842747,0.299744647,0.019197208,0.765730881,0.066842747,0.207043315,0.093051605,0.131997643,0.118673647,0.806389158,0.093051605,0.432349721,0.073690621,0.381261049,0,0.583736689,0.073690621,0.32498895,67.41975309
0.093051605,0.131997643,0.118673647,0.806389158,0.093051605,0.432349721,0.07293783,0.381261049,0,0.583736689,0.07293783,0.32498895,0.458830694,0.476920055,0,0.623426912,0.458830694,0.700550256,29.22077922
0.07293783,0.381261049,0,0.583736689,0.07293783,0.32498895,0.458390898,0.476920055,0,0.623426912,0.458390898,0.700550256,0.070848559,0.55274013,0,0.647628267,0.070848559,0.27357675,74.33333333
0.458390898,0.476920055,0,0.623426912,0.458390898,0.700550256,0.070093458,0.55274013,0,0.647628267,0.070093458,0.27357675,0.623020706,0.561775683,0.005235602,0.688286544,0.623020706,0.777827609,29.50310559
0.070093458,0.55274013,0,0.647628267,0.070093458,0.27357675,0.622714344,0.561775683,0.005235602,0.688286544,0.622714344,0.777827609,0.226755989,0.284619918,0.671902269,0.781219748,0.226755989,0.276732486,60.39814815
0.622714344,0.561775683,0.005235602,0.688286544,0.622714344,0.777827609,0.22612759,0.284619918,0.671902269,0.781219748,0.22612759,0.276732486,0.086682907,0.27813789,0,0.41142304,0.086682907,0.622065444,52.40432099
0.22612759,0.284619918,0.671902269,0.781219748,0.22612759,0.276732486,0.085940675,0.27813789,0,0.41142304,0.085940675,0.622065444,0.416950873,0.426242389,0.005235602,0.561471442,0.416950873,0.532713505,36.84359119
0.085940675,0.27813789,0,0.41142304,0.085940675,0.622065444,0.416477042,0.426242389,0.005235602,0.561471442,0.416477042,0.532713505,0.437013893,0.351071371,0.556719023,0.985395008,0.437013893,0.358781624,46.80735931
0.416477042,0.426242389,0.005235602,0.561471442,0.416477042,0.532713505,0.436556366,0.351071371,0.556719023,0.985395008,0.436556366,0.358781624,0.092773041,0.208406993,0.02443281,0.678606002,0.092773041,0.47015281,55.32098765
0.436556366,0.351071371,0.556719023,0.985395008,0.436556366,0.358781624,0.092035758,0.208406993,0.02443281,0.678606002,0.092035758,0.47015281,0.087088916,0.266155962,0,0.208131655,0.087088916,0.565314888,47.754329
0.092035758,0.208406993,0.02443281,0.678606002,0.092035758,0.47015281,0.086347013,0.266155962,0,0.208131655,0.086347013,0.565314888,0.108607389,0.370261245,0,0,0.108607389,0.480737674,68.39197531
0.086347013,0.266155962,0,0.208131655,0.086347013,0.565314888,0.107882974,0.370261245,0,0,0.107882974,0.480737674,0.414717824,0.451974072,0,0.223620523,0.414717824,0.711417384,94.20987654
0.107882974,0.370261245,0,0,0.107882974,0.480737674,0.414242178,0.451974072,0,0.223620523,0.414242178,0.711417384,0.104344296,0.435081516,0.001745201,0.618586641,0.104344296,1,85.35185185
0.414242178,0.451974072,0,0.223620523,0.414242178,0.711417384,0.103616416,0.435081516,0.001745201,0.618586641,0.103616416,1,0.491473812,0.397367904,0.07504363,0.873184898,0.491473812,0.900988391,74.72785829
0.103616416,0.435081516,0.001745201,0.618586641,0.103616416,1,0.491060544,0.397367904,0.07504363,0.873184898,0.491060544,0.900988391,0.076647425,0.464212207,0,0.666189654,0.076647425,0.782237458,73.14506173
0.491060544,0.397367904,0.07504363,0.873184898,0.491060544,0.900988391,0.075897037,0.464212207,0,0.666189654,0.075897037,0.782237458,0.451542834,0.607935573,0,0.511132623,0.451542834,0.764545564,76.49382716
0.075897037,0.464212207,0,0.666189654,0.075897037,0.782237458,0.451097115,0.607935573,0,0.511132623,0.451097115,0.764545564,0.316483963,0.658416814,0,0.519845111,0.316483963,0.801976782,62.77469136
0.451097115,0.607935573,0,0.511132623,0.451097115,0.764545564,0.315928484,0.658416814,0,0.519845111,0.315928484,0.801976782,0.04364596,0.464741701,0.008726003,0.703775411,0.04364596,0.648629534,39.77272727
0.315928484,0.658416814,0,0.519845111,0.315928484,0.801976782,0.042868753,0.464741701,0.008726003,0.703775411,0.042868753,0.648629534,0.026390581,0.473384404,0.003490401,0.672797677,0.026390581,0.391522386,65.48470209
0.042868753,0.464741701,0.008726003,0.703775411,0.042868753,0.648629534,0.02559935,0.473384404,0.003490401,0.672797677,0.02559935,0.391522386,0.213357694,0.618738951,0,0.61374637,0.213357694,0.678920997,61.72390572
0.02559935,0.473384404,0.003490401,0.672797677,0.02559935,0.391522386,0.212718407,0.618738951,0,0.61374637,0.212718407,0.678920997,0.397482745,0.70830878,0,0.42303969,0.397482745,0.636884255,70.55246914
0.212718407,0.618738951,0,0.61374637,0.212718407,0.678920997,0.396993092,0.70830878,0,0.42303969,0.396993092,0.636884255,0.223913926,0.597132194,0.467713787,0.70571152,0.223913926,0.735566557,17.31601732
0.396993092,0.70830878,0,0.42303969,0.396993092,0.636884255,0.223283218,0.597132194,0.467713787,0.70571152,0.223283218,0.735566557,0.2681689,0.291887645,0.670157068,0.893514037,0.2681689,0.140509879,21.91558442
0.223283218,0.597132194,0.467713787,0.70571152,0.223283218,0.735566557,0.267574157,0.291887645,0.670157068,0.893514037,0.267574157,0.140509879,0.070036541,0.277941465,0,0.649564376,0.070036541,0.191922079,32.60281385
0.267574157,0.291887645,0.670157068,0.893514037,0.267574157,0.140509879,0.06928078,0.277941465,0,0.649564376,0.06928078,0.191922079,0.497969955,0.396975054,0.001745201,0.76089061,0.497969955,0.311379838,23.57425184
0.06928078,0.277941465,0,0.649564376,0.06928078,0.191922079,0.497561967,0.396975054,0.001745201,0.76089061,0.497561967,0.311379838,0.248653992,0.418709914,0.02617801,0.811650322,0.248653992,0.210462029,23.29192547
0.497561967,0.396975054,0.001745201,0.76089061,0.497561967,0.311379838,0.24804339,0.418709914,0.02617801,0.811650322,0.24804339,0.210462029,0.395249695,0.280298566,0.055846422,0.787028074,0.395249695,0.207306293,26.6504329
0.24804339,0.418709914,0.02617801,0.811650322,0.24804339,0.210462029,0.394758228,0.280298566,0.055846422,0.787028074,0.394758228,0.207306293,0.057247259,0.32429778,0.160558464,0.802516941,0.057247259,0.244846403,45.45454545
0.394758228,0.280298566,0.055846422,0.787028074,0.394758228,0.207306293,0.056481105,0.32429778,0.160558464,0.802516941,0.056481105,0.244846403,0.064352416,0.381064624,0.012216405,0.813165537,0.064352416,0.455031574,43.29004329
0.056481105,0.32429778,0.160558464,0.802516941,0.056481105,0.244846403,0.063592036,0.381064624,0.012216405,0.813165537,0.063592036,0.455031574,0.090742996,0.290119819,0.003490401,0.730880929,0.090742996,0.430837598,52.2962963
0.063592036,0.381064624,0.012216405,0.813165537,0.063592036,0.455031574,0.090004063,0.290119819,0.003490401,0.730880929,0.090004063,0.430837598,0.13499797,0.270280888,0.010471204,0.567279768,0.13499797,0.531506046,34.22619048
0.090004063,0.290119819,0.003490401,0.730880929,0.090004063,0.430837598,0.134295002,0.270280888,0.010471204,0.567279768,0.134295002,0.531506046,0.096021112,0.297191122,0.066317627,0.674733785,0.096021112,0.329525321,30.3030303
0.134295002,0.270280888,0.010471204,0.567279768,0.134295002,0.531506046,0.095286469,0.297191122,0.066317627,0.674733785,0.095286469,0.329525321,0.15956151,0.242977804,0.020942408,0.794772507,0.15956151,0.285673738,36.25541126
